項次,發生日期,事故事件種類,原因別,發生年度,發生月份,員工傷,員工死,旅客傷,旅客死,民眾傷,民眾死,有無死傷
406,109/04/25,C17-其他事件,12.作業人員疏失,109,04,,,,,,,
407,109/05/14,C08-車輛故障,01.車門開關功能異常,109,05,,,,,,,
408,109/05/31,C12-外物入侵,16.空飄物入侵,109,05,,,,,,,
409,109/06/27,C11-運轉保安裝置故障,09.道岔功能或訊號異常,109,06,,,,,,,
410,109/07/16,C12-外物入侵,17.旅客物品掉落軌道,109,07,,,,,,,
411,109/08/13,C12-外物入侵,16.空飄物入侵,109,08,,,,,,,
412,109/08/19,C15-天然災變,19.地震,109,08,,,,,,,
413,109/08/19,C15-天然災變,19.地震,109,08,,,,,,,
414,109/08/25,C11-運轉保安裝置故障,09.道岔功能或訊號異常,109,08,,,,,,,
415,109/08/27,C11-運轉保安裝置故障,09.道岔功能或訊號異常,109,08,,,,,,,
416,109/08/29,C11-運轉保安裝置故障,09.道岔功能或訊號異常,109,08,,,,,,,
417,109/09/08,C10-電力設備故障,11.電力設備異常,109,09,,,,,,,
418,109/09/27,C08-車輛故障,07.其他車輛設備異常,109,09,,,,,,,
419,109/10/17,C15-天然災變,19.地震,109,10,,,,,,,
420,109/10/27,C12-外物入侵,14.民眾闖入,109,10,,,1,,,,Y
421,109/11/13,C08-車輛故障,03.煞車功能或訊號異常,109,11,,,,,,,
422,109/11/24,B02-側線出軌事故,12.作業人員疏失,109,11,,,,,,,
423,109/11/25,C11-運轉保安裝置故障,09.道岔功能或訊號異常,109,11,,,,,,,
424,109/12/04,C17-其他事件,24.其他外部因素,109,12,,,,,,,
425,109/12/10,C15-天然災變,19.地震,109,12,,,,,,,
426,109/12/31,C12-外物入侵,16.空飄物入侵,109,12,,,,,,,
427,110/02/04,C03-冒進號誌,12.作業人員疏失,110,02,,,,,,,
428,110/02/05,C11-運轉保安裝置故障,08.號誌系統功能異常,110,02,,,,,,,
429,110/03/16,C11-運轉保安裝置故障,09.道岔功能或訊號異常,110,03,,,,,,,
430,110/03/20,C11-運轉保安裝置故障,10.災害告警功能異常,110,03,,,,,,,
431,110/04/11,C11-運轉保安裝置故障,09.道岔功能或訊號異常,110,04,,,,,,,
432,110/04/17,C08-車輛故障,02.動力設備異常,110,04,,,,,,,
433,110/04/25,C15-天然災變,19.地震,110,04,,,,,,,
434,110/05/10,C11-運轉保安裝置故障,09.道岔功能或訊號異常,110,05,,,,,,,
435,110/06/24,C12-外物入侵,15.動物入侵,110,06,,,,,,,
436,110/08/07,C15-天然災變,20.邊坡滑動,110,08,,,,,,,
437,110/09/13,C15-天然災變,19.地震,110,09,,,,,,,
438,110/09/20,C11-運轉保安裝置故障,09.道岔功能或訊號異常,110,09,,,,,,,
439,110/10/14,C12-外物入侵,14.民眾闖入,110,10,,,,,,,
440,110/10/17,C08-車輛故障,07.其他車輛設備異常,110,10,,,,,,,
441,110/10/24,C15-天然災變,19.地震,110,10,,,,,,,
442,110/12/06,C11-運轉保安裝置故障,09.道岔功能或訊號異常,110,12,,,,,,,
443,111/01/19,C11-運轉保安裝置故障,09.道岔功能或訊號異常,111,01,,,,,,,
444,111/02/20,C12-外物入侵,14.民眾闖入,111,02,,,,,,,
445,111/03/02,C17-其他事件,12.作業人員疏失,111,03,,,,,,,
446,111/03/03,C10-電力設備故障,24.其他外部因素,111,03,,,,,,,
447,111/03/09,C11-運轉保安裝置故障,09.道岔功能或訊號異常,111,03,,,,,,,
448,111/03/25,C11-運轉保安裝置故障,09.道岔功能或訊號異常,111,03,,,,,,,
449,111/04/01,C17-其他事件,18.其他物品入侵,111,04,,,,,,,
450,111/04/05,C08-車輛故障,02.動力設備異常,111,04,,,,,,,
451,111/04/22,C11-運轉保安裝置故障,09.道岔功能或訊號異常,111,04,,,,,,,
452,111/04/22,C11-運轉保安裝置故障,09.道岔功能或訊號異常,111,04,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
